title,year,genre,rating,votes,plot,tags
Test Drive 5,1998,sport,6.5,25,Missing,"['singleplayer', 'multiplayer']"
Virginia,2016,"drama, mystery, thriller",6.5,121,"A woman, shortly after joining the FBI is tasked with a special case, which she has to solve alongside the disappearence of a local boy.","['singleplayer',  'full controller support', 'atmospheric',   'great soundtrack', 'story rich', 'horror', 'female protagonist', 'nudity', 'captions available', 'mystery', 'cinematic', 'walking simulator', 'overlay', 'detective']"
Batman: Arkham Underworld,2016,"action, adventure, crime",6.5,138,Batman Arkham Underworld was a mobile game available on android and IOS where you can play as the most wanted Gotham city criminals ever known in order to successfully accomplish high staking heists without failing any part of the scheme.,"['dark', 'story', 'online', 'comic book', 'city', 'batman', 'comics', 'hospital', 'clowns']"
Atelier Sophie: The Alchemist of the Mysterious Book,2015,"family, fantasy",6.5,20,The protagonist of Atelier Sophie: ~The Alchemist of the Mysterious Book~ is the alchemist novice Sophie Neuenmuller who lives in a small town. One day she finds a speaking book which bears...                See full summary »,"['singleplayer',  'great soundtrack', 'rpg', 'partial controller support', 'horror', 'fantasy', 'female protagonist', 'anime', 'turn-based', 'cute', 'crafting', 'jrpg']"
Jetpack Joyride,2011,"action, adventure, comedy",6.5,331,"When a ""top secret"" facility creates a high tech jetpack to use in their evil deeds, Barry Steakfries, a man losing money, finds the facility, steals the jetpack, and uses it to wreck the lab.","['story', 'character', 'runner', 'endless', 'fruit', 'jetpack']"
Extreme-G 3,2001,"action, sci-fi",6.5,16,"XGIII: Extreme G Racing is a futuristic racing game. Six teams are competing to win a racing championship, the player taking control of any of the two riders available in each team. The ...                See full summary »","['singleplayer', 'multiplayer', 'coop']"
Allegiant: VR Experience,2016,adventure,6.5,132,Explore the great VR with Four and Tris and the Divergent story in this world for Samsung devices.,"['singleplayer',  'free to play', 'vr']"
Edge of Nowhere,2016,adventure,6.5,14,Missing,['vr']
The New Tetris,1999,action,6.5,21,"Tetris version for the Nintendo 64. In addition to clearing lines, players can also form 4x4 large squares of four pieces to form silver or golden blocks for more points.","['singleplayer', 'multiplayer', 'exclusive']"
BattleTanx: Global Assault,1999,action,6.5,14,Missing,"['singleplayer', 'multiplayer']"
Kung Fu Panda: Legendary Warriors,2008,adventure,6.5,57,Missing,"['multiplayer', 'battle', 'movie']"
Marvel Avengers Academy,2016,"action, adventure, comedy",6.5,236,This is a game about the heroes and villains of Marvel as college or high school students.,"['battle', 'hero', 'build', 'hunt', 'student', 'superpowers', 'construct']"
Bomberman 64: The Second Attack!,1999,"action, adventure",6.5,22,"After Bomberman's ship is sucked into a black hole, he finds several planets have also been pulled in and usurped by the shadowy Rukifellth and his seven Astral Knights.","['singleplayer', 'multiplayer', 'exclusive']"
Naruto: Clash of Ninja Revolution,2007,adventure,6.5,26,Missing,"['anime', 'cartoon', 'ninja', ""it was nominated as wii's best fighter for 2007""]"
Pokémon Go,2016,"action, adventure, family",6.5,1153,It's your chance to discover and capture the Pokémon all around. Get your shoes on and explore the world. Pick one of three teams and battle for the prestige and ownership of Gyms with your Pokémon.,"['multiplayer', 'battle', 'explore', 'environment', 'collection', 'water', 'ball', 'tablet', 'balls', 'candy']"
Star Wars Commander,2014,"action, adventure, fantasy",6.5,32,Star Wars Commander is a strategy game that combines attacks on other players with attacks against computer generated bases. The game's storyline is set in the Star Wars universe with ...                See full summary »,"['war', 'story', 'combat', 'battle', 'epic', 'fight', 'destroy', 'build', 'solo', 'galaxy', 'princess', 'train']"
Saint Seiya: Sanctuary Juu Ni Kyuu Hen,2005,"action, fantasy",6.5,20,Missing,['exclusive']
Dungeons & Dragons: Chronicles of Mystara,2013,"action, fantasy",6.5,27,Dungeons and Dragons: Chronicles of Mystara is an enhanced re-release of Dungeons and Dragons: Tower of Doom and Dungeons and Dragons: Shadow over Mystara. Besides the obvious differences ...                See full summary »,"['singleplayer', 'rpg', 'fantasy']"
Project Cars 2,2017,sport,6.5,152,Missing,"['captions available', 'in-app purchases', 'realistic', 'vr', 'driving']"
Sea of Thieves,2018,"action, adventure, fantasy",6.5,785,"Four-player session open-world MMO based on a sea pirates theme, that let's players and their crew go on a journey to find treasure.","['singleplayer',  'multiplayer', 'full controller support', 'co-op', 'open world', 'first-person', 'online co-op', 'funny', 'cross-platform multiplayer', 'pvp', 'exclusive', 'in-app purchases', 'online pvp', 'pve', 'pirates', 'sailing', 'sea', 'w10 exclusive']"
Papa's Wingeria,2015,family,6.5,9,"Whip up the hottest wings in town in Papa's Wingeria. This must be your lucky day. You just won an all expense paid trip to Starlight City, the gaming capital of the world. But it doesn't ...                See full summary »","['achievements', 'character', 'city', 'collection', 'unique', 'room', 'food', 'shop']"
Papa's Taco Mia!,2011,family,6.5,9,"Mama Mia. It's Papa's Taco Mia. So what happens when an Italian chef opens a successful Pizzeria and Burgeria? Build the biggest, wackiest Taqueria anyone has ever seen. After winning a ...                See full summary »","['building', 'achievements', 'character', 'work', 'collection', 'unique', 'room', 'food', 'box', 'tablet', 'shop', 'holiday']"
Trials Fusion,2014,"action, sci-fi, sport",6.5,241,"It's the gold-standard platform racer for the next-generation of gaming. Built upon the Trials franchise's proven gameplay foundations, Fusion challenges players endlessly in both classic and all-new ways.","['singleplayer', 'multiplayer', 'great soundtrack', 'partial controller support', 'funny', 'difficult', 'local multiplayer', 'physics', 'futuristic', 'competitive', 'level editor']"
Call of Duty: Advanced Warfare - Exo Zombies,2015,action,6.5,176,"After the Atlas dropped the bio-tech bombs, the civilians not coded to the bomb's DNA match, where infected. The infected people have taken over Atlas, and a group of survivors are looking for a way out of the Atlas labs.","['singleplayer', 'multiplayer', 'sci-fi', 'post-apocalyptic', 'conspiracy']"
Final Fantasy Type-0 HD,2015,"action, adventure, fantasy",6.5,185,"The plot of Final Fantasy Type-0 HD evolves around the fourteen students of Class Zero, which find themselves in the middle of a cruel war between the four nations of Orience. They fight ...                See full summary »","['singleplayer',  'full controller support',   'great soundtrack', 'rpg', 'story rich', 'open world', 'third person', 'fantasy', 'action rpg', 'anime', 'nudity', 'hack and slash', 'jrpg']"
Danganronpa Another Episode: Ultra Despair Girls,2014,"adventure, comedy, drama",6.5,285,Komaru Naegi and Toko Fukawa fight a group of kids who are trying to kill as many adults as possible in order to create their Children's Paradise.,"['singleplayer',    'great soundtrack', 'story rich', 'partial controller support', 'horror', 'female protagonist', 'violent', 'third-person shooter', 'anime', 'nudity', 'sexual content', 'visual novel', 'detective']"
Lara Croft and the Temple of Osiris,2014,"action, adventure, fantasy",6.5,285,"Deep in the deserts of Egypt Lara Croft joins forces with rival treasure hunter Carter Bell and imprisoned gods Isis and Horus, to defeat the evil deity Set.","['singleplayer',  'multiplayer', 'full controller support', 'rpg', 'co-op', 'third person', 'online co-op', 'steam leaderboards', 'female protagonist', 'split screen', 'local co-op', 'hack and slash', 'isometric', 'top-down', 'twin stick shooter', 'lara croft']"
Code Name: S.T.E.A.M.,2015,"action, fantasy, sci-fi",6.5,31,A Nintendo 3DS game that combines turn-based strategy game and third person shooter. A comic book steampunk version of London gets attacked by an alien force. President Abraham Lincoln leads historic and literary characters against them.,['exclusive']
Battlefield: Hardline,2015,"action, crime",6.5,2620,Criminals and police officers fighting for and against the law.,"['singleplayer',  'multiplayer', 'full controller support', 'atmospheric', 'first-person', 'fps', 'gore', 'violent', 'tactical', 'pvp', 'war', 'crime', 'story', 'online pvp', 'steam trading cards', 'blood', 'heist', 'police']"
Might and Magic X: Legacy,2014,"adventure, fantasy",6.5,24,Missing,"['singleplayer', 'rpg', 'open world', 'first-person', 'fantasy', 'difficult', 'classic', 'tactical', 'retro', 'turn-based', 'magic', 'dungeon crawler', 'crpg', 'party-based rpg', 'grid-based movement']"
Fire Emblem: Shadow Dragon and the Blade of Light,1990,"action, adventure, family",6.5,39,"The First Fire Emblem game in the series. You play as Marth the prince, who sets out with his army to fight in war campaigns and defeat a dark wizard named Medeus.","['magic', 'battle', 'hero', 'fire', 'escape', 'sword', 'love', 'treasure', 'princess', 'knight']"
Pokémon Battle Trozei,2014,action,6.5,10,Missing,"['exclusive',  'puzzles']"
Psychic Force,1995,"action, fantasy, sci-fi",6.5,8,An air based fighting game where you project psychic attacks.,"['singleplayer', 'multiplayer']"
Despicable Me: Minion Rush,2013,"action, adventure, comedy",6.5,243,A despicable me game where you play as the minions.,"['party', 'race', 'fun', 'runner', 'collect', 'collection', 'room', 'dodge', 'run', 'youtube', 'mobile', 'dash']"
The Adventures of Captain Comic,1988,adventure,6.5,9,Missing,['singleplayer']
Wario: Master of Disguise,2007,"action, adventure, comedy",6.5,37,"Wario drops in on a TV-show and steals a thief's magic wand, which allows him to disguise himself. Each disguise has special advantages that help Wario through the levels.","['magic', 'console', 'explore', 'hunt', 'treasure', 'nes']"
Mario Artist: Talent Studio,2000,family,6.5,9,"Second game to be released in the Mario Artist series on the Nintendo 64DD, it was only released in Japan.","['singleplayer',  'funny', 'memes', 'relaxing', 'hand-drawn', 'artgame']"
Where's My Water? 2,2013,"action, adventure, family",6.5,33,"The sequel to the addictive physics-based puzzler from Disney has finally arrived, Where's My Water ? 2 launches with three brand new locations including the Sewer and the Soap Factory and the Beach.","['mystery', 'physics', 'achievements', 'puzzles', 'character', 'fun', 'water', 'steam', 'factory', 'children', 'kids', 'beach', 'duck']"
Ben 10 Omniverse 2,2013,action,6.5,57,Ben 10: Omniverse 2 is a video game based on the animated series of the same name and is the sequel to Ben 10: Omniverse. Players are set off on an all-new adventure with Ben and his ...                See full summary »,"['story', 'battle', 'race', 'alien', 'combos', 'invaders']"
Bad Piggies,2012,adventure,6.5,212,The map showing the location of Angry Birds' eggs has been torn to shreds. The Piggies construct different gadgets to reach the map pieces.,"['sandbox', 'fun', 'night', 'collection', 'car', 'fly', 'spooky', 'birds', 'pig']"
Magrunner: Dark Pulse,2013,"adventure, fantasy, horror",6.5,18,Lovecraftian first person adventure set in a not too distant futuristic society about a young contestant with mysterious family past trying to win a high tech company's puzzle solving contest based around revolutionary magnetic technology.,"['singleplayer',  'full controller support',  'first-person', 'sci-fi', 'horror', 'fps', 'cyberpunk', 'lovecraftian']"
